Rank	Mantissa	Log	Amount	Code	Type	Amount	FirstTwo	First	Second		Diffs * 1000	First-Two	
			-0.04828			0.00000	$0.00	$0.00	#VALUE!		10310	$10	
			-0.04817			0.00806	$80.00	$8.00	$0.00		8552	$85	
			-0.04809			0.01667	$16.00	$1.00	$6.00		7399	$73	
			-0.04801			0.00852	$85.00	$8.00	$5.00		6760	$67	
			-0.047945649			0.00780	$78.00	$7.00	$8.00		11232	$11	
			-0.04783			0.04000	$40.00	$4.00	$0.00		18627	$18	
			-0.04765			-0.02295	$22.00	$2.00	$2.00		2304	$23	
			-0.04762			-0.03175	$31.00	$3.00	$1.00		497	$49	
			-0.04762			0.00000	$0.00	$0.00	#VALUE!		0	$0	
			-0.04762			0.06557	$65.00	$6.00	$5.00		0	$0	
			-0.047619048			0.04615	$46.00	$4.00	$6.00		13301	$13	
			-0.04749			-0.01471	$14.00	$1.00	$4.00		2841	$28	
			-0.04746			0.00716	$71.00	$7.00	$1.00		8921	$89	
			-0.04737			-0.02193	$21.00	$2.00	$1.00		3255	$32	
			-0.047335871			-0.03758	$37.00	$3.00	$7.00		254	$25	
			-0.047333333			0.00000	$0.00	$0.00	#VALUE!		28415	$28	
			-0.04705			0.00000	$0.00	$0.00	#VALUE!		11585	$11	
			-0.04693			-0.00819	$81.00	$8.00	$1.00		5833	$58	
			-0.04688			0.00000	$0.00	$0.00	#VALUE!		5540	$55	
			-0.046819604			-0.00762	$76.00	$7.00	$6.00		6960	$69	
			-0.04675			-0.00832	$83.00	$8.00	$3.00		1835	$18	
			-0.04673			-0.03226	$32.00	$3.00	$2.00		3944	$39	
			-0.046692215			0.00000	$0.00	$0.00	#VALUE!		9134	$91	
			-0.046600877			0.00867	$86.00	$8.00	$6.00		13003	$13	
			-0.04647			-0.00859	$85.00	$8.00	$5.00		8429	$84	
			-0.04639			0.05867	$58.00	$5.00	$8.00		2894	$28	
			-0.04636			0.00756	$75.00	$7.00	$5.00		9053	$90	
			-0.04627			0.03875	$38.00	$3.00	$8.00		1456	$14	
			-0.04625			0.02286	$22.00	$2.00	$2.00		7868	$78	
			-0.04617			0.05882	$58.00	$5.00	$8.00		15396	$15	
			-0.04602			0.01389	$13.00	$1.00	$3.00		1931	$19	
			-0.04600			-0.02740	$27.00	$2.00	$7.00		8108	$81	
			-0.04592			-0.02817	$28.00	$2.00	$8.00		26542	$26	
			-0.045654083			0.04348	$43.00	$4.00	$3.00		2028	$20	
			-0.04563			0.00000	$0.00	$0.00	#VALUE!		11719	$11	
			-0.04552			0.02056	$20.00	$2.00	$0.00		5798	$57	
			-0.04546			-0.02014	$20.00	$2.00	$0.00		2942	$29	
			-0.04543			0.00000	$0.00	$0.00	#VALUE!		7158	$71	
			-0.04536			-0.00722	$72.00	$7.00	$2.00		3564	$35	
			-0.04532			0.06323	$63.00	$6.00	$3.00		6492	$64	
			-0.04526			-0.02000	$19.00	$1.00	$9.00		4647	$46	
			-0.045210585			0.00000	$0.00	$0.00	#VALUE!		2500	$25	
			-0.04519			0.00698	$69.00	$6.00	$9.00		17771	$17	
			-0.04501			-0.00693	$69.00	$6.00	$9.00		788	$78	
			-0.04500			0.03383	$33.00	$3.00	$3.00		4496	$44	
			-0.04496			0.01922	$19.00	$1.00	$9.00		3417	$34	
			-0.04492			0.04485	$44.00	$4.00	$4.00		7713	$77	
			-0.04484			-0.02439	$24.00	$2.00	$4.00		6763	$67	
			-0.04478			-0.00650	$64.00	$6.00	$4.00		3218	$32	
			-0.04474			-0.02516	$25.00	$2.00	$5.00		5279	$52	
			-0.04469			0.03252	$32.00	$3.00	$2.00		149	$14	
			-0.04469			-0.00650	$64.00	$6.00	$4.00		4964	$49	
			-0.044640014			0.00000	$0.00	$0.00	#VALUE!		12870	$12	
			-0.044511309			-0.03120	$31.00	$3.00	$1.00		3131	$31	
			-0.04448			-0.01299	$12.00	$1.00	$2.00		2305	$23	
			-0.04446			0.00000	$0.00	$0.00	#VALUE!		17651	$17	
			-0.04428			0.00000	$0.00	$0.00	#VALUE!		11877	$11	
			-0.04416			0.00632	$63.00	$6.00	$3.00		4403	$44	
			-0.04412			0.01308	$13.00	$1.00	$3.00		5052	$50	
			-0.044067131			0.03252	$32.00	$3.00	$2.00		4698	$46	
			-0.04402			0.00600	$60.00	$6.00	$0.00		210	$21	
			-0.04402			0.00646	$64.00	$6.00	$4.00		4983	$49	
			-0.04397			-0.00642	$64.00	$6.00	$4.00		2743	$27	
			-0.04394			0.01889	$18.00	$1.00	$8.00		647	$64	
			-0.04393			-0.01854	$18.00	$1.00	$8.00		14811	$14	
			-0.04379			-0.01839	$18.00	$1.00	$8.00		162	$16	
			-0.04378			-0.01924	$19.00	$1.00	$9.00		7363	$73	
			-0.04371			0.00671	$67.00	$6.00	$7.00		754	$75	
			-0.04370			0.01282	$12.00	$1.00	$2.00		6119	$61	
			-0.04364			0.01266	$12.00	$1.00	$2.00		15614	$15	
			-0.043486106			0.00000	$0.00	$0.00	#VALUE!		785	$78	
			-0.04348			0.04350	$43.00	$4.00	$3.00		16176	$16	
			-0.04332			-0.01198	$11.00	$1.00	$1.00		7326	$73	
			-0.04324			0.07905	$79.00	$7.00	$9.00		81	$81	
			-0.04324			0.01124	$11.00	$1.00	$1.00		5094	$50	
			-0.04319			-0.00578	$57.00	$5.00	$7.00		2209	$22	
			-0.04317			-0.02235	$22.00	$2.00	$2.00		393	$39	
			-0.04317			-0.00549	$54.00	$5.00	$4.00		1951	$19	
			-0.04315			0.00000	$0.00	$0.00	#VALUE!		3527	$35	
			-0.043110685			0.02851	$28.00	$2.00	$8.00		6307	$63	
			-0.04305			-0.00536	$53.00	$5.00	$3.00		1700	$17	
			-0.04303			-0.01124	$11.00	$1.00	$1.00		4349	$43	
